Node,In-Degree,Out-Degree
0,612,139
4,122,76
5,173,101
7,29,15
8,102,29
9,15,16
10,244,126
11,130,191
12,368,208
13,333,37
14,188,21
15,42,26
16,55,71
17,97,22
18,2761,44
19,462,190
20,219,58
21,218,99
22,276,272
23,65,57
24,243,70
25,122,245
26,219,197
27,843,334
28,761,139
29,360,125
30,421,288
31,563,438
32,112,35
33,198,175
34,803,493
35,363,319
36,91,142
37,222,160
38,131,106
39,195,152
40,799,238
41,35,71
42,66,66
43,292,232
44,627,808
45,294,195
46,349,45
47,47,40
48,296,210
49,459,90
50,222,113
51,296,97
52,36,52
53,263,35
54,245,65
55,261,99
56,3,2
57,103,11
58,243,154
59,489,86
60,141,65
61,267,156
62,66,89
63,260,232
64,434,47
65,323,173
66,394,292
67,181,60
68,222,221
69,247,41
70,26,41
71,248,238
72,308,140
73,173,77
74,489,188
75,107,182
76,190,69
77,658,195
78,210,170
79,233,241
80,36,38
81,373,164
82,80,66
83,334,124
84,46,36
85,338,215
86,82,82
87,126,57
88,168,76
89,149,84
90,475,122
91,90,59
92,290,27
93,287,66
94,17,17
95,15,7
96,270,100
97,191,64
98,127,140
99,48,32
100,286,166
101,310,199
102,410,92
103,427,117
104,391,90
105,268,197
106,83,67
107,333,132
108,148,81
109,131,58
110,191,75
111,147,68
112,321,130
113,148,209
114,26,34
115,156,56
116,180,82
117,203,171
118,930,123
119,166,365
120,216,103
121,8,7
122,195,109
123,194,231
124,167,129
125,638,66
126,165,61
127,324,187
128,822,98
129,50,50
130,349,122
131,49,32
132,153,137
133,179,42
134,118,13
135,600,186
136,1096,111
137,84,101
138,287,26
139,125,81
140,235,152
141,350,303
142,99,126
799,8,5
1,765,319
169,325,260
223,223,133
233,229,119
295,413,35
310,96,70
333,210,207
335,122,143
368,209,75
388,388,138
401,695,200
409,153,93
426,285,285
427,259,200
433,499,140
449,463,197
545,111,154
550,645,152
551,300,174
588,211,104
639,280,205
681,406,28
686,221,73
715,412,88
716,82,45
717,472,98
718,64,58
719,176,80
720,146,98
721,117,44
722,349,163
723,353,150
724,162,69
725,645,269
726,567,85
727,153,89
728,296,80
729,195,44
730,148,107
731,66,72
732,78,100
733,299,134
734,8,15
735,606,236
736,20,21
737,1199,370
738,495,302
2,228,54
155,100,115
225,239,140
235,254,86
236,178,62
237,119,73
245,53,198
249,118,99
303,106,57
330,107,108
366,97,74
369,234,50
398,431,56
402,314,78
413,252,165
421,237,124
437,76,78
438,500,36
443,373,329
445,161,243
548,150,0
555,392,113
560,56,68
563,381,338
625,120,164
651,30,147
664,296,131
683,119,80
775,39,35
776,376,125
777,65,20
778,36,35
779,150,64
780,889,3
781,63,19
782,115,67
783,265,27
784,76,46
785,20,49
786,365,111
787,114,135
788,92,92
789,263,117
790,1193,102
791,716,36
