Node,In-Degree,Out-Degree
0,139,612
4,76,122
5,101,173
7,15,29
8,29,102
9,16,15
10,126,244
11,191,130
12,208,368
13,37,333
14,21,188
15,26,42
16,71,55
17,22,97
18,44,2761
19,190,462
20,58,219
21,99,218
22,272,276
23,57,65
24,70,243
25,245,122
26,197,219
27,334,843
28,139,761
29,125,360
30,288,421
31,438,563
32,35,112
33,175,198
34,493,803
35,319,363
36,142,91
37,160,222
38,106,131
39,152,195
40,238,799
41,71,35
42,66,66
43,232,292
44,808,627
45,195,294
46,45,349
47,40,47
48,210,296
49,90,459
50,113,222
51,97,296
52,52,36
53,35,263
54,65,245
55,99,261
56,2,3
57,11,103
58,154,243
59,86,489
60,65,141
61,156,267
62,89,66
63,232,260
64,47,434
65,173,323
66,292,394
67,60,181
68,221,222
69,41,247
70,41,26
71,238,248
72,140,308
73,77,173
74,188,489
75,182,107
76,69,190
77,195,658
78,170,210
79,241,233
80,38,36
81,164,373
82,66,80
83,124,334
84,36,46
85,215,338
86,82,82
87,57,126
88,76,168
89,84,149
90,122,475
91,59,90
92,27,290
93,66,287
94,17,17
95,7,15
96,100,270
97,64,191
98,140,127
99,32,48
100,166,286
101,199,310
102,92,410
103,117,427
104,90,391
105,197,268
106,67,83
107,132,333
108,81,148
109,58,131
110,75,191
111,68,147
112,130,321
113,209,148
114,34,26
115,56,156
116,82,180
117,171,203
118,123,930
119,365,166
120,103,216
121,7,8
122,109,195
123,231,194
124,129,167
125,66,638
126,61,165
127,187,324
128,98,822
129,50,50
130,122,349
131,32,49
132,137,153
133,42,179
134,13,118
135,186,600
136,111,1096
137,101,84
138,26,287
139,81,125
140,152,235
141,303,350
142,126,99
799,5,8
1,319,765
169,260,325
223,133,223
233,119,229
295,35,413
310,70,96
333,207,210
335,143,122
368,75,209
388,138,388
401,200,695
409,93,153
426,285,285
427,200,259
433,140,499
449,197,463
545,154,111
550,152,645
551,174,300
588,104,211
639,205,280
681,28,406
686,73,221
715,88,412
716,45,82
717,98,472
718,58,64
719,80,176
720,98,146
721,44,117
722,163,349
723,150,353
724,69,162
725,269,645
726,85,567
727,89,153
728,80,296
729,44,195
730,107,148
731,72,66
732,100,78
733,134,299
734,15,8
735,236,606
736,21,20
737,370,1199
738,302,495
2,54,228
155,115,100
225,140,239
235,86,254
236,62,178
237,73,119
245,198,53
249,99,118
303,57,106
330,108,107
366,74,97
369,50,234
398,56,431
402,78,314
413,165,252
421,124,237
437,78,76
438,36,500
443,329,373
445,243,161
548,0,150
555,113,392
560,68,56
563,338,381
625,164,120
651,147,30
664,131,296
683,80,119
775,35,39
776,125,376
777,20,65
778,35,36
779,64,150
780,3,889
781,19,63
782,67,115
783,27,265
784,46,76
785,49,20
786,111,365
787,135,114
788,92,92
789,117,263
790,102,1193
791,36,716
792,107,130
793,150,257
794,129,108
168,62,44
365,49,137
699,84,156
999,31,165
1003,82,73
1022,81,60
1106,76,86
1107,31,19
1108,67,202
1109,23,29
71389,112,114
158,47,16
222,116,112
318,109,124
508,157,88
547,69,149
796,17,18
965,77,200
979,44,110
1005,22,93
1008,49,110
1118,10,8
1119,29,27
1120,37,63
1121,5,7
1122,14,14
1123,44,31
1124,35,31
1125,7,11
1126,43,46
1127,18,20
1128,64,93
1129,86,276
159,102,51
843,124,346
846,33,101
848,207,208
917,171,120
923,206,204
1163,155,217
1164,109,489
165,170,271
301,139,426
302,66,61
312,194,206
319,185,185
344,111,47
345,129,146
354,184,200
367,69,69
384,99,97
385,190,491
395,164,356
408,89,223
411,119,154
414,191,144
415,92,188
418,257,576
436,47,160
549,120,470
559,99,188
586,267,308
611,84,50
612,68,29
620,222,115
627,101,58
663,365,343
712,48,111
766,350,236
852,148,140
974,40,46
993,57,206
998,54,88
1026,55,44
1027,67,113
1166,43,54
1167,114,157
1168,10,14
1169,38,40
1170,56,64
1171,54,165
1172,404,404
1173,77,326
1174,107,129
1175,10,27
1176,11,62
1177,69,310
1178,23,444
1179,85,1119
1180,64,49
1181,116,198
1182,110,74
1183,22,22
1184,93,63
1185,78,156
1186,33,83
1187,16,12
1188,6,6
1189,141,54
1190,168,282
1191,153,538
1192,29,79
6,27,211
195,285,255
211,18,26
231,13,4
257,55,46
269,20,51
327,82,65
329,210,418
357,179,136
359,69,64
374,65,314
378,80,107
383,203,197
387,53,64
407,129,146
410,129,180
434,156,154
441,79,82
475,21,15
500,84,17
546,410,411
558,69,176
564,119,119
597,95,155
598,17,34
629,466,136
645,1632,390
661,489,124
688,28,64
746,237,121
812,56,41
879,87,327
890,72,39
954,136,135
1014,162,361
1029,119,500
1033,135,134
1075,157,373
1110,39,44
1243,46,65
1244,16,9
1245,26,26
1246,62,77
1247,193,452
1248,41,81
1249,75,61
1250,161,71
1251,48,45
1252,54,36
1253,47,55
1254,169,150
1255,5,164
1256,37,200
1257,19,19
1258,46,146
1259,133,129
1260,6,3
1261,12,8
1262,60,73
1263,85,89
1264,94,82
1265,26,74
1266,7,1
1267,35,18
1268,5,209
1269,22,3
1270,36,23
1271,38,52
1272,75,137
1273,37,13
1274,110,357
1275,49,36
1276,55,182
1277,67,84
1278,130,42
1279,29,4
71388,222,170
156,50,61
193,95,106
199,34,30
210,134,364
242,58,30
331,65,127
350,213,135
375,187,149
382,106,323
386,132,149
393,10,22
394,80,233
428,86,107
584,76,59
624,82,101
653,69,89
684,248,255
795,33,31
804,51,31
853,217,217
860,140,322
916,72,115
946,70,42
961,25,30
982,53,53
994,42,146
996,42,139
1010,17,13
1015,43,56
1036,116,152
1105,25,25
1293,51,52
1294,9,8
1295,11,11
1296,19,36
1297,16,23
1298,5,3
1299,73,64
1300,10,8
1301,26,139
1302,3,3
1303,21,25
1304,135,277
1305,28,107
1306,59,35
1307,9,8
1308,12,5
1309,21,148
1310,17,26
1311,5,6
1312,183,185
1313,77,47
1314,141,150
1315,72,189
1316,34,116
1317,26,22
1318,49,78
1319,45,58
1320,10,12
1321,39,60
1322,65,36
1323,47,281
1324,57,121
2752,12,30
1023,154,346
1111,135,308
1207,76,244
1390,135,294
1391,18,6
1392,64,198
1393,112,94
1394,21,53
1395,29,14
1396,333,323
1397,71,227
1398,60,574
1399,41,352
1400,104,229
1401,96,476
1402,35,80
1403,45,171
1404,52,53
1405,45,359
1406,121,150
1407,82,144
1408,60,83
1409,353,353
1410,42,20
1411,226,226
1412,65,152
1413,11,5
1414,32,19
697,57,241
854,47,357
987,51,45
1574,56,223
1575,24,27
1576,94,246
1577,80,324
1578,2,2
1579,4,26
1580,116,116
1581,32,103
71383,45,145
349,88,120
576,236,359
765,131,135
847,68,91
1712,62,322
1713,48,61
1714,68,97
1715,33,85
1716,238,214
1717,38,66
1718,74,144
1719,46,1053
143,143,1438
241,49,50
332,90,47
396,45,48
432,196,163
440,56,278
689,177,351
701,25,39
703,67,53
805,37,57
849,139,557
850,103,278
918,220,466
981,16,83
1011,54,88
1365,24,32
1561,43,187
1613,139,310
1738,88,163
1740,83,83
1741,26,64
1742,23,25
1743,4,1
1745,9,1
1746,6,3
1747,166,166
1748,168,159
1749,91,346
1750,32,67
1751,76,252
1752,59,65
1753,30,560
1754,132,238
1755,185,193
1756,6,473
446,104,225
556,153,265
696,186,163
1286,23,7
1772,20,15
1773,11,17
1774,16,18
1775,38,37
1776,35,231
1777,10,30
1778,103,163
1779,104,58
1780,22,43
1782,0,10
1783,3,113
1786,37,37
1787,1,3
1788,5,35
1789,29,33
1790,9,1
420,42,148
1438,136,244
1453,144,37
1890,72,59
1891,28,35
1892,55,240
1893,38,73
1894,94,370
1895,61,234
1896,191,105
1897,13,72
1898,111,118
1899,33,119
1900,30,56
1901,40,54
1902,37,108
1903,115,336
1904,26,90
1905,89,182
1906,17,160
1907,90,55
1908,65,211
1909,66,463
1910,89,199
1911,9,143
1912,103,192
1913,5,5
1914,24,94
1915,12,51
187,34,336
191,64,104
234,118,40
286,72,80
340,149,155
353,78,69
370,174,124
381,176,293
431,144,275
452,140,261
453,70,188
575,66,66
745,55,128
769,23,81
844,152,206
845,76,87
863,100,184
873,69,96
975,170,208
983,92,100
1001,25,26
1016,262,153
1031,61,93
1069,63,84
1238,82,88
1476,320,221
1554,77,72
1572,249,174
1642,95,221
1763,130,127
1935,114,276
1975,160,232
2023,33,43
2024,40,53
2025,52,169
2026,32,35
2027,21,125
2028,75,205
2029,54,75
2030,83,151
2031,84,86
2032,91,156
2033,152,134
2034,137,143
2035,83,146
2036,51,100
2037,157,163
2038,40,24
2039,14,37
2040,120,150
2041,34,54
2042,88,122
2043,126,137
2044,6,6
2045,87,114
2046,99,150
2047,154,147
2048,37,37
2049,85,153
2050,25,63
2051,67,96
2052,111,212
2053,34,61
2054,46,88
2055,107,57
2056,109,76
2057,90,95
2058,10,11
2059,58,241
2060,140,106
2061,98,111
2062,99,218
2063,226,226
2064,74,105
2065,77,188
2066,397,397
2067,101,118
2068,17,35
364,38,43
429,101,281
552,112,141
1620,124,421
1622,78,101
2114,13,7
2115,60,293
2116,64,77
2117,8,8
2118,333,333
2119,55,43
2120,74,467
2121,56,27
320,194,175
534,162,133
883,261,328
980,69,73
1440,180,575
1446,51,105
1504,100,38
1529,143,52
2110,68,117
2215,83,192
2216,28,25
2217,77,100
2218,97,195
2219,48,46
2220,31,63
2221,57,47
2222,29,96
2223,35,35
2224,12,70
2225,25,34
2226,56,159
2227,162,365
2228,37,332
2229,34,119
2230,55,158
2231,82,76
2232,135,134
2233,38,30
2234,45,172
2235,16,30
2236,301,301
2237,40,56
2238,10,17
2239,48,540
2240,23,18
2241,92,92
2242,35,25
2243,41,41
2244,84,221
2245,56,74
2246,107,45
2247,32,22
2248,149,149
2249,96,100
2250,36,33
2251,53,71
2252,39,45
2253,24,31
2254,86,74
2255,107,107
145,614,71
148,15,6
149,20,9
154,205,125
161,59,14
167,146,94
172,68,174
175,68,28
185,75,69
194,41,9
203,178,53
232,56,23
270,39,44
283,50,71
291,247,65
314,30,54
315,66,127
316,25,32
317,28,17
326,63,126
372,45,67
400,130,134
442,112,127
444,37,60
447,259,288
451,110,152
454,29,66
455,153,32
456,42,58
457,11,6
471,13,3
568,25,5
579,131,75
581,57,63
594,72,24
615,69,30
685,126,135
767,15,9
858,40,21
862,68,80
867,26,9
896,32,49
910,24,24
942,241,108
977,11,4
978,45,12
986,8,41
990,24,36
1009,80,90
1032,79,90
1037,66,119
1044,67,28
1045,9,7
1046,19,7
1049,35,16
1057,46,13
1058,21,6
1066,18,7
1073,19,18
1085,31,27
1094,16,11
1098,28,12
1099,6,6
1102,99,51
1114,23,26
1130,18,6
1132,23,5
1133,32,25
1153,21,18
1157,50,64
1196,41,23
1204,53,74
1280,50,35
1333,3,3
1546,64,104
1587,43,29
1589,123,69
1615,74,104
1668,23,12
1815,123,256
1933,89,120
1934,57,49
2069,85,48
2074,40,16
2075,142,80
2265,149,71
2301,11,24
2302,18,31
2303,140,149
2304,1,5
2305,17,23
2306,13,9
2307,29,30
2308,34,26
2309,10,10
2310,18,19
2311,34,22
2312,16,19
2313,6,8
2314,16,7
2315,5,4
2316,80,71
2317,22,21
2318,47,146
2319,17,19
2320,37,36
2321,12,5
2322,36,44
2323,12,12
2324,27,57
2325,26,16
2326,10,8
2327,98,33
2328,45,94
2329,16,10
2330,7,1
2331,14,10
2332,3,2
2333,7,11
2334,15,19
2335,22,40
2336,16,20
2337,32,44
2338,39,25
2339,32,64
2340,29,12
2341,25,31
2342,42,48
2344,89,60
2361,16,29
2362,80,65
2364,14,22
2365,25,17
2366,69,52
2367,89,49
2369,78,66
2437,18,19
2559,19,63
2608,31,23
2782,28,17
2804,40,44
2897,41,67
2908,41,36
3681,11,7
4880,50,34
10094,7,8
71385,31,12
371,15,30
403,88,122
544,47,56
872,62,20
976,75,165
988,54,47
1013,94,99
2258,13,11
2368,19,4
2370,18,13
2371,105,147
2372,46,16
2373,128,133
2374,8,6
2375,96,258
2376,26,37
2377,37,47
2378,8,6
2379,13,45
2380,32,29
2386,31,72
164,27,31
178,78,18
192,69,44
217,223,102
252,35,18
285,44,14
288,54,26
289,251,216
300,55,101
341,60,9
373,59,33
404,39,86
481,218,46
541,57,62
652,310,152
704,257,97
750,28,15
758,8,4
878,17,8
912,62,32
926,15,57
971,139,93
989,65,109
1020,72,232
1024,79,289
1145,52,35
1379,341,79
1387,13,7
2345,4,10
2349,18,31
2400,16,3
2408,249,90
2435,53,140
2436,14,8
2439,3,17
2440,40,75
2441,2,2
2442,10,4
2444,38,207
2445,22,24
2446,47,119
2448,44,48
2449,10,24
2450,16,16
2451,18,39
2452,4,1
2453,39,35
2454,11,9
2455,28,39
2456,2,2
2457,32,5
2458,21,22
2459,9,1
2460,13,12
2461,80,95
2462,1,7
2463,0,40
2464,52,281
2465,14,11
2467,13,8
2468,3,8
2469,8,25
2470,89,42
2483,14,8
2485,22,14
2487,109,98
2491,39,19
3162,20,36
7657,16,7
26288,2,2
71384,12,12
254,61,76
282,126,187
416,35,36
516,52,103
562,31,50
590,400,246
618,173,73
637,741,254
654,140,73
665,26,217
705,180,62
830,35,43
906,55,20
991,99,94
1202,13,6
1233,32,49
1652,20,47
1658,114,116
1762,41,64
1970,45,46
2430,17,52
2472,10,13
2492,25,29
2493,10,14
2494,3,3
2495,50,75
2496,30,54
2497,135,129
2498,24,182
2499,111,68
2500,28,46
2501,162,150
2502,40,37
2503,21,10
2504,66,60
2505,25,21
2506,22,10
2507,53,54
2508,66,61
2509,163,59
2510,29,21
2511,41,160
2512,83,611
2513,10,31
2514,63,78
2515,35,30
2516,60,55
208,36,35
296,111,121
325,25,48
334,48,52
342,175,101
356,107,43
360,79,158
405,127,125
419,84,81
450,3,119
557,54,193
592,102,52
674,36,18
680,79,127
702,60,106
870,15,6
874,47,82
888,48,196
927,56,96
985,64,54
992,34,31
997,136,192
1004,43,109
1012,28,44
1147,71,80
1437,56,182
1483,210,134
1552,98,64
2006,17,52
2171,38,32
2256,44,56
2287,142,59
2419,83,48
2424,85,131
2478,105,122
2528,91,229
2548,58,77
2550,11,2
2551,21,18
2552,18,9
2553,38,52
2554,57,71
2555,9,8
2556,47,51
2557,32,66
2558,63,146
2560,30,59
2561,148,143
2562,17,67
2563,161,114
2564,12,2
2565,107,107
2775,79,181
2800,40,99
2956,68,191
2961,43,77
3174,95,203
3231,69,26
3260,37,19
3264,44,200
3281,26,335
3463,62,61
3683,85,95
3841,36,106
3979,113,132
4342,36,147
4687,95,104
5829,28,152
6059,80,80
7437,0,46
7806,2,137
21718,5,3
649,155,150
913,184,165
925,83,98
1206,57,124
1224,101,196
1431,112,82
1432,60,429
1472,64,138
1507,89,97
1512,58,130
1520,128,158
1623,103,490
1629,112,178
1635,99,273
2101,66,46
2113,99,301
2144,181,327
2151,246,151
2198,98,89
2629,27,47
2630,64,135
2631,91,97
2632,34,52
2633,61,75
2634,77,102
2635,70,126
2636,52,240
2637,194,194
2638,23,150
2639,108,136
2640,152,152
2641,59,114
