Node,Cluster
0,4
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,1
10,4
11,4
12,4
13,4
14,4
15,1
16,4
17,0
18,2
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,1
42,4
43,4
44,1
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,1
57,4
58,4
59,4
60,4
61,4
62,1
63,4
64,0
65,4
66,4
67,4
68,4
69,4
70,1
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,1
81,4
82,4
83,4
84,1
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,1
122,4
123,4
124,4
125,4
126,4
127,4
128,0
129,1
130,4
131,1
132,4
133,4
134,4
135,4
136,0
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,1
145,1
146,1
147,2
148,4
149,4
150,1
151,4
152,1
153,4
154,4
155,4
156,4
157,1
158,1
159,4
160,1
161,1
162,1
163,1
164,4
165,4
166,4
167,4
168,4
169,4
170,1
171,1
172,4
173,1
174,1
175,4
176,2
177,1
178,1
180,4
181,1
183,4
184,1
185,4
186,1
187,4
188,4
189,1
190,1
191,4
192,4
193,4
194,1
195,4
197,1
198,4
199,4
200,1
201,1
202,1
203,4
205,4
206,2
207,1
208,4
209,1
210,4
211,4
212,4
213,4
214,2
215,4
216,4
217,4
219,1
221,4
222,4
223,4
224,4
225,4
226,1
228,1
229,4
230,1
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,1
241,4
242,4
243,4
244,1
245,1
246,1
247,1
248,1
249,4
250,4
251,4
252,4
254,4
255,4
256,1
257,4
259,1
260,1
261,4
262,1
264,1
265,1
266,1
267,4
268,1
269,4
270,4
272,1
273,2
274,2
276,1
277,4
279,1
280,1
281,4
282,4
283,4
284,1
285,1
286,4
287,4
288,4
289,4
290,4
291,4
292,1
293,4
294,1
295,4
296,4
297,4
298,1
299,4
300,4
301,4
302,4
303,4
304,1
305,1
306,4
307,4
308,4
309,1
310,4
311,4
312,4
313,1
314,4
315,4
316,4
317,1
318,4
319,4
320,4
321,4
322,2
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,1
333,4
334,4
335,4
336,4
337,1
338,4
339,4
340,4
341,1
342,4
343,1
344,4
345,4
346,4
348,4
349,4
350,4
351,4
352,1
353,4
354,4
355,1
356,1
357,4
358,1
359,4
360,4
361,1
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,4
370,4
371,4
372,4
373,4
374,4
375,4
376,4
377,4
378,4
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
390,4
391,4
392,2
393,4
394,4
395,4
396,4
397,4
398,4
399,4
400,4
401,4
402,4
403,4
404,4
405,4
406,4
407,4
408,4
409,4
410,4
411,4
412,4
413,4
414,4
415,4
416,4
417,4
418,4
419,4
420,0
421,4
422,4
423,1
424,4
425,4
426,4
427,4
428,4
429,4
430,1
431,4
432,4
433,4
434,4
435,4
436,4
437,4
438,4
439,4
440,4
441,4
442,4
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,4
457,4
458,1
459,1
460,4
461,4
463,1
465,2
466,1
467,1
468,2
469,1
470,1
471,1
473,1
475,4
478,1
480,1
481,4
482,1
483,1
484,4
485,4
486,1
487,4
488,4
490,1
492,4
493,4
494,1
495,1
496,1
497,1
499,1
500,4
502,1
504,1
505,4
507,1
508,4
510,1
511,1
512,1
513,4
514,4
515,1
516,4
517,1
518,1
519,2
523,4
524,1
525,2
526,1
528,1
529,4
530,4
531,1
532,1
533,1
534,4
535,2
536,4
537,2
539,1
540,4
541,4
543,1
544,4
545,4
546,4
547,4
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,4
557,4
558,4
559,4
560,4
561,4
562,4
563,4
564,4
565,4
566,4
567,1
568,4
569,1
570,4
571,1
572,4
573,4
574,1
575,4
576,4
578,1
579,4
580,1
581,4
582,4
583,4
584,4
586,4
587,1
588,4
589,4
590,4
591,1
592,4
593,4
594,4
595,1
596,1
597,4
598,4
599,4
600,1
601,1
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,4
613,4
614,4
615,4
616,1
617,4
618,4
619,1
620,4
621,4
622,4
623,1
624,4
625,4
626,4
627,4
628,4
629,4
630,4
631,4
632,4
633,1
634,1
635,4
636,4
637,1
638,1
639,4
640,4
641,4
642,1
643,1
644,4
645,1
646,1
647,4
649,4
650,4
651,4
652,4
653,4
654,4
655,4
656,4
657,4
658,4
659,4
660,4
661,1
662,4
663,4
664,4
665,4
666,1
667,4
668,1
669,4
670,4
671,4
672,1
673,4
674,1
675,4
676,4
677,4
678,4
679,4
680,4
681,4
682,1
683,4
684,4
685,4
686,4
687,4
688,2
689,4
691,4
692,4
693,4
694,4
695,1
696,4
697,4
698,1
699,4
700,4
701,4
702,4
703,4
704,4
705,4
707,4
708,1
709,4
710,1
711,1
712,4
713,4
714,1
715,4
716,4
717,0
718,4
719,4
720,4
721,4
722,4
723,4
724,4
725,4
726,4
727,4
728,4
729,4
730,4
731,4
732,4
733,4
734,2
735,4
736,2
737,4
738,4
739,4
741,1
742,4
743,1
744,2
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,1
754,2
755,4
757,4
758,1
759,4
760,1
761,4
762,4
763,1
764,4
765,4
766,4
767,1
768,4
769,4
770,1
771,4
773,4
774,1
775,4
776,4
777,4
778,4
779,4
780,3
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,4
789,4
790,0
791,0
792,4
793,4
794,4
795,4
796,4
797,1
798,4
799,4
801,2
802,4
803,2
804,4
805,4
807,4
808,4
809,1
810,1
811,1
812,4
813,1
814,4
815,4
816,1
817,4
818,4
819,4
820,4
821,1
822,4
823,4
824,4
825,4
826,4
827,4
828,4
829,4
830,4
831,1
832,4
833,1
834,1
835,1
836,2
837,1
838,4
839,4
840,4
841,2
843,0
844,4
845,4
846,4
847,4
848,4
849,4
850,4
851,4
852,4
853,4
854,4
856,4
857,2
858,4
859,4
860,4
862,4
863,4
864,2
865,1
867,4
869,4
870,2
871,1
872,4
873,4
874,0
876,4
878,4
879,4
881,1
882,4
883,4
884,1
885,4
886,4
887,4
888,4
890,4
891,1
892,4
893,4
896,4
898,4
900,1
901,1
902,4
903,4
904,2
905,4
906,4
907,1
908,4
909,4
910,4
911,4
912,4
913,4
915,1
916,4
917,4
918,4
919,4
920,0
923,4
924,4
925,4
926,4
927,4
929,4
930,0
931,1
932,4
933,1
934,4
936,4
938,1
940,2
942,4
943,1
944,4
945,1
946,4
947,1
948,1
949,4
950,4
951,1
952,4
953,4
954,4
955,4
956,4
957,4
959,1
960,4
961,4
962,4
963,4
964,1
965,4
966,1
967,4
968,4
969,4
970,4
971,4
972,4
973,0
974,4
975,4
976,4
977,1
978,4
979,4
980,4
981,4
982,4
983,4
984,1
985,4
986,4
987,1
988,4
989,4
990,1
991,4
992,4
993,4
994,4
995,1
996,4
997,4
998,4
999,0
1000,1
1001,4
1002,4
1003,4
1004,4
1005,4
1006,4
1007,4
1008,4
1009,4
1010,4
1011,4
1012,4
1013,4
1014,4
1015,4
1016,4
1017,1
1018,4
1019,4
1020,0
1021,4
1022,4
1023,4
1024,4
1025,4
1026,4
1027,4
1028,4
1029,4
1030,1
1031,4
1032,4
1033,4
1035,4
1036,4
1037,4
1038,1
1039,2
1040,4
1041,1
1042,4
1043,4
1044,4
1045,1
1046,4
1047,1
1048,4
1049,4
1051,1
1052,1
1055,1
1056,4
1057,4
1058,1
1059,1
1060,1
1063,1
1064,1
1065,1
1066,4
1067,1
1068,4
1069,4
1070,1
1071,1
1072,1
1073,4
1074,1
1075,4
1077,4
1078,1
1081,1
1082,1
1083,4
1084,4
1085,4
1086,1
1088,2
1089,1
1090,1
1091,2
1093,4
1094,4
1098,2
1099,1
1101,1
1102,4
1103,4
1104,1
1105,4
1106,4
1107,4
1108,4
1109,4
1110,4
1111,4
1112,4
1113,1
1114,1
1116,1
1117,1
1118,4
1119,4
1120,4
1121,1
1122,4
1123,4
1124,4
1125,4
1126,4
1127,4
1128,4
1129,4
1130,4
1132,4
1133,4
1135,1
1136,1
1137,4
1138,1
1139,4
1140,1
1141,1
1142,4
1143,4
1144,4
1145,4
1146,1
1147,4
1148,1
1149,4
1150,1
1151,1
1152,4
1153,1
1154,1
1155,1
1156,1
1157,4
1158,1
1159,1
1160,1
1161,4
1162,1
1163,4
1164,4
1165,4
1166,4
1167,4
1168,4
1169,4
1170,4
1171,4
1172,4
1173,4
1174,4
1175,4
1176,4
1177,4
1178,4
1179,4
1180,4
1181,4
1182,4
1183,4
1184,4
1185,0
1186,4
1187,1
1188,1
1189,1
1190,0
1191,4
1192,4
1193,4
1195,1
1196,4
1197,1
1198,4
1199,4
1200,4
1201,4
1202,2
1204,4
1205,1
1206,4
1207,4
1209,4
1210,2
1211,4
1212,4
1215,4
1216,4
1217,4
1218,4
1219,4
1221,4
1222,1
1223,4
1224,4
1225,4
1227,1
1228,4
1229,1
1230,4
1231,1
1232,4
1233,4
1234,4
1235,4
1236,4
1237,4
1238,4
1239,4
1240,1
1241,1
1242,4
1243,4
1244,1
1245,4
1246,4
1247,4
1248,4
1249,4
1250,4
1251,4
1252,4
1253,4
1254,4
1255,4
1256,4
1257,1
1258,4
1259,4
1260,2
1261,4
1262,4
1263,4
1264,4
1265,4
1266,1
1267,4
1268,4
1269,4
1270,4
1271,4
1272,4
1273,4
1274,4
1275,4
1276,4
1277,4
1278,4
1279,1
1280,4
1281,1
1282,1
1283,4
1284,4
1285,4
1286,2
1288,4
1289,1
1290,1
1291,1
1293,4
1294,4
1295,4
1296,4
1297,4
1298,1
1299,1
1300,4
1301,4
1302,1
1303,4
1304,4
1305,4
1306,4
