Node,In-Degree,Out-Degree
0,636,139
4,125,76
5,176,101
7,30,15
8,104,29
9,15,16
10,254,126
11,132,191
12,384,208
13,350,37
14,199,21
15,45,26
16,56,73
17,118,28
18,3035,44
19,466,190
20,229,58
21,239,99
22,281,272
23,65,57
24,248,70
25,128,252
26,226,197
27,894,334
28,785,139
29,369,125
30,429,288
31,579,440
32,123,35
33,204,175
34,820,493
35,379,325
36,96,146
37,223,160
38,131,106
39,208,152
40,817,238
41,36,79
42,68,68
43,296,232
44,672,843
45,302,195
46,384,45
47,48,41
48,311,210
49,519,90
50,228,115
51,307,97
52,36,52
53,269,35
54,254,68
55,265,99
56,3,2
57,105,11
58,249,157
59,517,86
60,148,65
61,280,156
62,77,106
63,271,233
64,499,47
65,327,173
66,408,294
67,215,60
68,228,221
69,259,41
70,28,42
71,259,240
72,318,140
73,174,79
74,512,188
75,112,188
76,199,69
77,694,199
78,218,170
79,246,241
80,40,38
81,383,164
82,89,67
83,342,124
84,57,36
85,352,217
86,83,83
87,129,59
88,179,77
89,151,84
90,485,122
91,95,60
92,322,27
93,296,66
94,19,17
95,18,7
96,286,101
97,198,64
98,131,144
99,53,34
100,293,166
101,316,199
102,422,92
103,444,117
104,399,90
105,272,197
106,83,69
107,354,132
108,152,81
109,140,58
110,214,77
111,150,69
112,336,130
113,154,210
114,27,34
115,170,58
116,184,82
117,210,172
118,1004,123
119,173,386
120,231,103
121,8,7
122,200,109
123,195,231
124,173,129
125,668,68
126,168,61
127,337,188
128,848,101
129,52,52
130,375,124
131,53,33
132,156,139
133,187,42
134,126,14
135,632,188
136,1180,111
137,87,101
138,328,26
139,128,82
140,243,152
141,360,305
142,103,130
799,10,5
1,802,320
169,333,260
223,237,133
233,235,119
295,439,35
310,97,70
333,218,209
335,125,143
368,246,75
388,401,140
401,724,200
409,161,93
426,285,285
427,259,200
433,506,140
449,469,197
545,114,156
550,657,152
551,318,174
588,216,104
639,298,206
681,413,28
686,247,73
715,442,88
716,84,45
717,496,99
718,65,58
719,178,80
720,147,98
721,119,44
722,356,163
723,361,150
724,170,69
725,694,274
726,614,85
727,157,89
728,300,80
729,197,44
730,162,112
731,69,72
732,84,102
733,337,138
734,8,16
735,625,236
736,25,22
737,1317,372
738,524,308
2,237,54
155,102,115
225,247,140
235,264,86
236,184,62
237,122,73
245,53,199
249,118,99
303,109,57
330,109,110
366,102,75
369,240,50
398,441,56
402,320,78
413,263,166
421,242,124
437,79,78
438,517,36
443,390,329
445,168,246
548,154,0
555,396,113
560,57,68
563,392,342
625,127,165
651,30,147
664,302,131
683,124,80
775,42,35
776,415,125
777,69,20
778,37,35
779,155,64
780,908,3
781,64,19
782,118,67
783,275,27
784,81,49
785,23,52
786,376,113
787,120,135
788,104,99
789,281,119
790,1284,102
791,800,37
792,134,107
793,264,150
794,124,129
168,44,62
365,148,50
699,207,86
999,186,32
1003,79,84
1022,64,81
1106,89,76
1107,19,31
1108,203,67
1109,34,23
71389,115,112
158,16,47
222,118,116
318,132,113
508,96,160
547,159,69
796,18,17
965,207,77
979,118,44
1005,103,22
1008,118,49
1118,9,10
1119,32,32
1120,65,37
1121,7,5
1122,17,14
1123,31,44
1124,32,35
1125,12,7
1126,49,45
1127,20,18
1128,99,64
1129,284,86
159,51,102
843,365,128
846,103,33
848,215,214
917,123,174
923,208,211
1163,224,156
1164,507,109
165,273,170
301,439,139
302,65,66
312,206,194
319,201,185
344,47,112
345,149,130
354,207,186
367,70,70
384,99,99
385,500,191
395,402,164
408,234,89
411,156,119
414,146,192
415,195,92
418,579,258
436,164,47
549,491,120
559,199,101
586,321,269
611,54,88
612,29,69
620,124,227
627,59,102
663,353,367
712,112,48
766,248,352
852,144,148
974,47,40
993,217,58
998,104,55
1026,48,57
1027,114,68
1166,57,43
1167,162,114
1168,14,10
1169,41,38
1170,65,56
1171,174,54
1172,412,412
1173,355,77
1174,129,107
1175,28,10
1176,65,11
1177,326,69
1178,464,23
1179,1166,85
1180,50,73
1181,213,116
1182,74,110
1183,25,22
1184,66,94
1185,164,78
1186,92,33
1187,12,20
1188,6,6
1189,60,182
1190,299,174
1191,586,153
1192,88,29
6,232,27
195,268,287
211,27,18
231,4,14
257,48,55
269,54,20
327,66,82
329,425,210
357,137,180
359,68,70
374,341,65
378,110,80
383,199,203
387,66,53
407,150,130
410,183,130
434,158,156
441,82,79
475,17,21
500,17,85
546,423,422
558,185,69
564,125,125
597,158,95
598,37,18
629,143,513
645,408,1801
661,126,510
688,73,28
746,127,241
812,42,57
879,340,87
890,42,75
954,139,136
1014,372,162
1029,577,120
1033,140,138
1075,397,159
1110,44,39
1243,66,46
1244,9,16
1245,26,26
1246,78,62
1247,457,193
1248,83,41
1249,62,76
1250,79,171
1251,45,48
1252,37,55
1253,56,47
1254,152,170
1255,193,5
1256,204,37
1257,19,19
1258,153,46
1259,137,133
1260,4,6
1261,8,12
1262,75,60
1263,93,87
1264,83,94
1265,74,26
1266,1,7
1267,18,35
1268,228,5
1269,3,22
1270,24,37
1271,52,38
1272,145,75
1273,15,38
1274,378,111
1275,38,50
1276,192,55
1277,86,68
1278,46,155
1279,5,30
71388,181,264
156,63,50
193,108,95
199,30,34
210,378,134
242,32,61
331,129,66
350,139,213
375,152,187
382,329,107
386,151,132
393,23,10
394,239,80
428,110,86
584,65,77
624,102,82
653,93,69
684,265,251
795,32,33
804,31,51
853,227,227
860,330,140
916,122,72
946,42,70
961,31,25
982,54,53
994,160,42
996,147,42
1010,14,17
1015,58,43
1036,159,118
1105,26,25
1293,52,51
1294,8,9
1295,11,11
1296,38,19
1297,27,17
1298,5,5
1299,80,153
1300,9,10
1301,142,26
1302,3,3
1303,25,21
1304,293,136
1305,110,28
1306,36,59
1307,8,9
1308,5,12
1309,156,21
1310,29,18
1311,9,5
1312,191,185
1313,49,77
1314,152,143
1315,198,72
1316,121,34
1317,22,26
1318,81,50
1319,65,46
1320,13,11
1321,62,41
1322,44,67
1323,288,47
1324,128,57
2752,30,12
1023,358,154
1111,317,135
1207,255,76
1390,312,136
1391,11,18
1392,216,64
1393,102,112
1394,53,21
1395,17,29
1396,352,354
1397,231,71
1398,623,60
1399,390,41
1400,247,104
1401,522,96
1402,82,37
1403,175,45
1404,58,52
1405,373,47
1406,155,122
1407,156,84
1408,94,60
1409,368,368
1410,21,44
1411,233,233
1412,157,65
1413,7,14
1414,19,32
697,253,57
854,385,50
987,57,55
1574,239,56
1575,34,25
1576,259,94
1577,372,80
1578,2,2
1579,28,5
1580,122,122
